original_output_file,folder,location,date,audiofile,template,starttime,ampcutoff,species,min.score,max.score,n.scores,speciespresent
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_073000.wav,F1,025,-21,T,-0.93,1.21,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_073000.wav,F2,000,-21,T,-1.58,1.13,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_073000.wav,F2,087,-21,T,-1.6,1.11,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_073000.wav,F3,000,-21,T,-1.42,1.04,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_073000.wav,F4,000,-21,T,-1.96,1.74,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_073000.wav,F4,030,-21,T,-1.13,1.35,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_073000.wav,F5,065,-21,T,-2.01,1.51,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_073000.wav,F8,025,-21,T,-1.11,1.04,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_073000.wav,F8,036,-21,T,-1.13,1.01,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_073000.wav,F6,015,-21,H,-1.49,2.39,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_073000.wav,F7,017,-21,H,-0.94,1.14,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_073000.wav,F9,102,-21,T,-1.59,1.36,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_074500.wav,F1,025,-21,T,-1.07,1.52,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_074500.wav,F2,000,-21,T,-0.85,1.36,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_074500.wav,F2,087,-21,T,-0.89,1.34,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_074500.wav,F3,000,-21,T,-0.71,1.28,18439,None
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_074500.wav,F4,000,-21,T,-1.42,2.23,18439,None
