Analyst,audiofile,Date,RecordingLocation,plot,location,PrimateSpecies,CallDistance,MicUsed,Rain
Silvy van Kuijk,HARPIA_20130224_071500.wav,2/24/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130224_073000.wav,2/24/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130224_074500.wav,2/24/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130224_080000.wav,2/24/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130225_061500.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",Howler,3,1,Dry
Silvy van Kuijk,HARPIA_20130225_054500.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130225_060000.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130225_063000.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130225_064500.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130225_070000.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130225_071500.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130225_073000.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130225_074500.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130225_080000.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130226_054500.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130226_060000.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130226_061500.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130226_063000.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130226_064500.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130226_070000.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130226_071500.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130226_073000.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130226_074500.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130226_080000.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130227_054500.wav,2/27/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130227_060000.wav,2/27/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130227_061500.wav,2/27/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130227_063000.wav,2/27/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130227_064500.wav,2/27/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130227_070000.wav,2/27/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130227_071500.wav,2/27/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130227_073000.wav,2/27/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130227_074500.wav,2/27/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130227_080000.wav,2/27/2013,"Harpia/1, -50",Harpia,"1, -50",None,NA,1,Rain
Silvy van Kuijk,PUMA_20130301_054500.wav,3/1/2013,"Puma/6, 0",Puma,"6, 0",None,NA,1,Rain
Silvy van Kuijk,PUMA_20130301_060000.wav,3/1/2013,"Puma/6, 0",Puma,"6, 0",None,NA,1,Rain
Silvy van Kuijk,PUMA_20130301_061500.wav,3/1/2013,"Puma/6, 0",Puma,"6, 0",None,NA,1,Rain
Silvy van Kuijk,PUMA_20130301_063000.wav,3/1/2013,"Puma/6, 0",Puma,"6, 0",None,NA,1,Rain
