original_output_file,survey_file_name,template,starttime,ampcutoff,species,min.score,max.score,n.scores,folder,location,recording.date,audiofile
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_064500.wav ",F8,25,-25,T,-1.26,1.25,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_064500.wav ",F8,36,-25,T,-1.17,1.22,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_064500.wav ",F6,15,-25,H,-0.76,2.93,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_064500.wav ",F7,17,-25,H,-0.81,2.27,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_064500.wav ",F9,102,-25,T,-1.44,1.9,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_070000.wav ",F1,25,-25,T,-0.65,1.05,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_070000.wav ",F2,0,-25,T,-0.41,1.1,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_070000.wav ",F2,87,-25,T,-0.33,1.11,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_070000.wav ",F3,0,-25,T,-0.22,1.06,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
"C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output_Harpia2013_1,-50.txt","Harpia 2013/1,-50/23 feb 2013/HARPIA_20130223_070000.wav ",F4,0,-25,T,-0.68,1.67,18439,Harpia 2013,"1,-50",27-Feb-13,HARPIA_20130227_080000.wav 
